"('VB', 'be')","('VBN', 'thought')","('IN', 'that')","('NN', 'sound')","('NN', 'pollution')"
"('NN', 'negitve')","('NNS', 'impacts')","('WDT', 'that')","('NNS', 'damages')","('VBP', 'many')"
"('IN', 'of')","('NN', 'time')","('WDT', 'that')","('DT', 'the')","('NN', 'victim')"
"('PRP', 'He')","('VBZ', 'states')","('IN', 'that')","('CD', '90dB')","(',', ',')"
"('NN', 'listen')","('TO', 'to')","('DT', 'that')","('NN', 'loud')","('NN', 'viose')"
"('PRP', 'He')","('VBD', 'said')","('IN', 'that')","('DT', 'any')","('NN', 'sonud')"
"('DT', 'any')","('NN', 'sonud')","('IN', 'that')","('VBZ', 'is')","('RBR', 'heigher')"
"('VBZ', 'is')","('RBR', 'heigher')","('IN', 'that')","('CD', '120dB')","('MD', 'can')"
"('JJ', 'dangrous')","('NN', 'damege')","('WDT', 'that')","('NN', 'sometime')","('MD', 'can')"
"('NNP', 'Fisher')","('VBZ', 'detirmains')","('IN', 'that')","('NN', 'sound')","('NN', 'pollution')"
"('DT', 'the')","('NN', 'work')","('IN', 'that')","('VBZ', 'is')","('VBN', 'done')"
"('NN', 'bus')","('NN', 'company')","('WDT', 'that')","('NN', 'produce')","('VBP', 'noise')"
"('JJ', 'strict')","('NNS', 'laws')","('WDT', 'that')","('NN', 'prohibit')","('DT', 'any')"
"('DT', 'a')","('NN', 'problem')","('WDT', 'that')","('VBZ', 'is')","('VBN', 'made')"
"('JJ', 'boisturous')","('NN', 'train')","('WDT', 'that')","('VBZ', 'passes')","('NN', 'everday')"
"('VBP', 'have')","('VBN', 'shown')","('IN', 'that')","('NN', 'exposure')","('TO', 'to')"
"('NN', 'ear')","('CC', 'and')","('IN', 'that')","('NN', 'damage')","('MD', 'can')"
"('NN', 'addition')","('TO', 'to')","('DT', 'that')","(',', ',')","('NNS', 'companies')"
"('NNS', 'intersets')","('VBP', 'find')","('IN', 'that')","('NN', 'loud')","('NNS', 'sounds')"
"('PRP', 'I')","('VBP', 'find')","('IN', 'that')","('NN', 'exposure')","('TO', 'to')"
"('PRP$', 'Its')","('JJ', 'clear')","('IN', 'that')","('NNS', 'people')","('VBP', 'have')"
"('DT', 'the')","('NNS', 'noises')","('WDT', 'that')","('VBP', 'come')","('IN', 'for')"
"('PRP$', 'their')","('NNS', 'neighborhoods')","('WDT', 'that')","('NN', 'prevent')","('NN', 'tham')"
"('JJ', 'good')","('NNS', 'things')","('WDT', 'that')","('DT', 'the')","('NN', 'ear')"
"('NNP', 'Fisher')","('VBZ', 'claims')","('IN', 'that')","('NN', 'noise')","('NN', 'pollution')"
"('VBZ', 'says')","('NNS', 'reports')","('IN', 'that')","('``', '``')","('NN', 'exposure')"
"('NNP', 'Fisher')","('NNS', 'reports')","('WDT', 'that')","('VBP', 'noise')","('NN', 'pollution')"
"('PRP', 'they')","('VBD', 'noticed')","('IN', 'that')","('EX', 'there')","('VBP', 'are')"
"('NN', 'problem')","('VBZ', 'is')","('IN', 'that')","('NNS', 'people')","('VBP', 'are')"
"('NNS', 'neiborhoods')","('RB', 'espically')","('IN', 'that')","('VB', 'have')","('NNS', 'children')"
"('IN', 'of')","('NN', 'body')","('IN', 'that')","('NN', 'make')","('NNS', 'people')"
"('NN', 'noisy')","('VBZ', 'busses')","('IN', 'that')","('NN', 'come')","('IN', 'across')"
"('NNP', 'Berlin')","('VBZ', 'claims')","('IN', 'that')","('DT', 'some')","('NNS', 'people')"
"('NNS', 'people')","('VBZ', 'claims')","('IN', 'that')","('POS', ""'"")","('PRP', 'they')"
"('DT', 'a')","('NN', 'neighborhood')","('WDT', 'that')","('VBP', 'have')","('NNS', 'people')"
"('JJ', 'dangerous')","('NN', 'thing')","('WDT', 'that')","('VBZ', 'threatenes')","('DT', 'either')"
"('DT', 'no')","('NN', 'doubt')","('IN', 'that')","('NN', 'pullotion')","('VBZ', 'is')"
"('JJ', 'serious')","('NNS', 'issues')","('WDT', 'that')","('NNS', 'people')","('DT', 'all')"
"('DT', 'some')","('NNS', 'alternatives')","('WDT', 'that')","('NN', 'help')","('NNS', 'people')"
"('VBZ', 'is')","('JJ', 'clear')","('IN', 'that')","('NN', 'pollution')","('VBZ', 'creates')"
"('PRP', 'He')","('VBZ', 'adds')","('IN', 'that')","('PRP', 'it')","('MD', 'can')"
"('NN', 'sense')","('CC', 'and')","('IN', 'that')","('IN', 'for')","('RB', 'sure')"
"('NN', 'clock')","('NN', 'noise')","('WDT', 'that')","('VBZ', 'buses')","('VBP', 'make')"
"('NN', 'noise')","('CC', 'and')","('IN', 'that')","('RB', 'unfortunately')","('MD', 'will')"
"('PRP', 'He')","('VBZ', 'adds')","('IN', 'that')","('DT', 'this')","('NN', 'problem')"
"('NN', 'addition')","('TO', 'to')","('DT', 'that')","(',', ',')","('DT', 'some')"
"('IN', 'by')","('NN', 'saing')","('IN', 'that')","('JJ', 'many')","('NNS', 'companies')"
"('RB', 'also')","('VBZ', 'adds')","('IN', 'that')","('EX', 'there')","('VBP', 'are')"
"('RB', 'strongly')","('VBZ', 'confirms')","('IN', 'that')","('NN', 'county')","('NNS', 'officials')"
"('DT', 'the')","('NNS', 'rules')","('WDT', 'that')","('VBP', 'indicate')","('NNS', 'buses')"
"('NNP', 'Berlin')","('VBZ', 'emphasizes')","('IN', 'that')","('``', '``')","('DT', 'The')"
"('JJ', 'strict')","('NNS', 'laws')","('WDT', 'that')","('NN', 'enforce')","('NNS', 'people')"
"('RB', 'not')","('RB', 'just')","('WDT', 'that')","(',', ',')","('PRP', 'it')"
"('DT', 'the')","('NN', 'fact')","('IN', 'that')","('JJ', 'mental')","('NNS', 'problems')"
"('JJ', 'negative')","('NNS', 'effects')","('WDT', 'that')","('JJ', 'derive')","('IN', 'from')"
"('DT', 'the')","('NN', 'noise')","('IN', 'that')","('VBN', 'prevented')","('PRP', 'you')"
"('RB', 'clearly')","('VBZ', 'indicates')","('IN', 'that')","('JJ', 'high')","('NNS', 'levels')"
"('IN', 'because')","('IN', 'of')","('DT', 'that')","(',', ',')","('PRP', 'you')"
"('NN', 'pollution')","('IN', 'for')","('DT', 'that')","('DT', 'this')","('NN', 'problem')"
"('CC', 'but')","('MD', 'will')","('IN', 'that')","('VB', 'help')","('PRP', 'you')"
"('WP', 'who')","('VBD', 'said')","('IN', 'that')","('PRP', 'they')","('VBP', 'are')"
"('NN', 'productivity')","('CC', 'and')","('IN', 'that')","('MD', 'will')","('VB', 'lead')"
"('DT', 'a')","('NN', 'company')","('WDT', 'that')","('VBZ', 'establishes')","('NN', 'superhero')"
"('IN', 'of')","('NN', 'noise')","('IN', 'that')","('MD', 'could')","('VB', 'kill')"
"('NN', 'time')","('VBG', 'believing')","('IN', 'that')","('PRP', 'they')","('VBP', 'are')"
"(',', ',')","('CC', 'and')","('IN', 'that')","('MD', 'will')","('VB', 'reduce')"
"('NN', 'ear')","('NN', 'damage')","('WDT', 'that')","('VBZ', 'causes')","('JJ', 'hear')"
"('IN', 'with')","('NNS', 'headphones')","('IN', 'that')","('MD', 'can')","('VB', 'protect')"
"('IN', 'with')","('NNS', 'machines')","('IN', 'that')","('VBP', 'have')","('JJR', 'lower')"
"('JJ', 'brutal')","('NN', 'truth')","('WDT', 'that')","('DT', 'those')","(',', ',')"
"('PRP', 'he')","('VBZ', 'reprts')","('IN', 'that')","('JJ', 'many')","('NNS', 'people')"
"('NNP', 'Fisher')","('VBZ', 'argues')","('IN', 'that')","('NN', 'noise')","('NN', 'pollution')"
"('VBZ', 'is')","('VBG', 'showing')","('IN', 'that')","('PRP', 'they')","('VBP', 'are')"
"('VBN', 'concerned')","('IN', 'about')","('DT', 'that')","('WRB', 'when')","('NNS', 'people')"
"('NN', 'cause')","('IN', 'of')","('DT', 'that')","(',', ',')","('PRP', 'they')"
"('PRP', 'they')","('VBD', 'found')","('IN', 'that')","('JJ', 'high')","('NN', 'blood')"
"(',', ',')","('CC', 'and')","('IN', 'that')","('VBZ', 'is')","('DT', 'the')"
"('MD', 'should')","('VB', 'know')","('IN', 'that')","('EX', 'there')","('MD', 'will')"
"('DT', 'the')","('NNS', 'noises')","('WDT', 'that')","('PRP', 'they')","('VBP', 'have')"
"('JJ', 'new')","('NN', 'problem')","('WDT', 'that')","('VBD', 'was')","('VBN', 'born')"
