"('one', 'CD')","('of', 'IN')","('the', 'DT')","('most', 'RBS')","('important', 'JJ')"
"('scenses', 'NNS')","('of', 'IN')","('the', 'DT')","('body', 'NN')","('.', '.')"
"('there', 'EX')","('is', 'VBZ')","('any', 'DT')","('hezerds', 'NNS')","('nearby', 'VBP')"
"('is', 'VBZ')","('also', 'RB')","('an', 'DT')","('important', 'JJ')","('scence', 'NN')"
"('automobiles', 'NNS')","(',', ',')","('a', 'DT')","('new', 'JJ')","('harmful', 'JJ')"
"('Becuase', 'NN')","('of', 'IN')","('the', 'DT')","('harmful', 'JJ')","('impacts', 'NNS')"
"('impacts', 'NNS')","('of', 'IN')","('the', 'DT')","('sound', 'NN')","('pollution', 'NN')"
"('parts', 'NNS')","('of', 'IN')","('any', 'DT')","('comuunity', 'NN')","('.', '.')"
"(',', ',')","('and', 'CC')","('the', 'DT')","('govrnement', 'NN')","('are', 'VBP')"
"('negitivly', 'RB')","('by', 'IN')","('the', 'DT')","('production', 'NN')","('of', 'IN')"
"('pollution', 'NN')","('affect', 'NN')","('the', 'DT')","('hearing', 'NN')","('system', 'NN')"
"('system', 'NN')","('in', 'IN')","('the', 'DT')","('body', 'NN')","('only', 'RB')"
"('parts', 'NNS')","('of', 'IN')","('the', 'DT')","('people', 'NNS')","('who', 'WP')"
"('live', 'JJ')","('in', 'IN')","('a', 'DT')","('factory', 'NN')","('inviroment', 'NN')"
"('first', 'VBD')","('reported', 'VBN')","('the', 'DT')","('sound', 'NN')","('polluition', 'NN')"
"('effects', 'NNS')","('on', 'IN')","('the', 'DT')","('ability', 'NN')","('to', 'TO')"
"('hear', 'VB')","('for', 'IN')","('the', 'DT')","('injured', 'VBN')","('victims', 'NNS')"
"('live', 'VB')","('near', 'IN')","('a', 'DT')","('loud', 'NN')","('factory', 'NN')"
"('can', 'MD')","('make', 'VB')","('the', 'DT')","('victim', 'NN')","('hear', 'NN')"
"(',', ',')","('and', 'CC')","('the', 'DT')","('degree', 'NN')","('of', 'IN')"
"('relevent', 'NN')","('to', 'TO')","('the', 'DT')","('amount', 'NN')","('of', 'IN')"
